Layer,Name,GEOID,Population,PCT-I_2019-2023,PCT-C_2019-2023,PCT-S_2019-2023
(Indicator name),,,,"Demographics, 0-4 years (% of residents), 2019-2023","Demographics, 0-17 years (% of residents), 2019-2023","Demographics, 65 and older (% of residents), 2019-2023"
(Definition),,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---
Census tract,Tract 608,17031060800,5295,1.4027671022290549,4.016141429669485,16.69869331283628
Census tract,Tract 609,17031060900,7104,3.742576992128159,6.173180499930949,16.503245408092802
Census tract,Tract 610,17031061000,2279,4.007203962179198,7.609185051778478,5.177847816298964
Census tract,Tract 611,17031061100,1367,4.239766081871345,7.967836257309941,1.608187134502924
Census tract,Tract 612,17031061200,1932,5.472154963680388,14.334140435835351,7.070217917675545
Census tract,Tract 615,17031061500,1797,3.0927835051546393,9.441128594682583,8.410200759631037
Census tract,Tract 618,17031061800,1051,1.486013986013986,2.972027972027972,6.031468531468532
Census tract,Tract 619.01,17031061901,3625,2.0349670392662653,6.391516193751791,15.104614502722844
Census tract,Tract 619.02,17031061902,4665,2.3959646910466583,7.524169819251786,17.843631778058008
Census tract,Tract 620,17031062000,2843,5.50118123523456,8.032399595005064,6.1424232197097535
Census tract,Tract 621,17031062100,3817,3.4980566352026647,5.052748473070516,6.718489727928928
Census tract,Tract 622,17031062200,3244,15.282083075015498,19.86980781153131,1.8598884066955983
Census tract,Tract 623,17031062300,1667,10.146777281429484,25.335035098915128,4.339502233567326
Census tract,Tract 624,17031062400,1673,12.195121951219512,20.930232558139537,7.260351673284175
Census tract,Tract 625,17031062500,1675,7.10868079289132,16.67805878332194,3.2809295967190706
Census tract,Tract 626,17031062600,2477,7.620660457239628,31.202370872142257,4.868755292125317
Census tract,Tract 627,17031062700,2955,6.107660455486543,14.251207729468598,7.280883367839889
Census tract,Tract 628,17031062800,3851,9.028146574614976,19.118428040361128,4.567180031864047
Census tract,Tract 629,17031062900,4125,6.173410404624277,13.710982658959535,3.9768786127167632
Census tract,Tract 630,17031063000,3417,3.745442492542261,7.954922108054359,5.402717931720251
Census tract,Tract 631,17031063100,2376,4.794229953330505,8.655070004242681,2.460755197284684
Census tract,Tract 632,17031063200,6900,1.080080234531708,4.860361055392686,17.03440827032865
Census tract,Tract 633.01,17031063301,2833,3.5027472527472527,6.559065934065934,13.942307692307692
Census tract,Tract 633.02,17031063302,4577,5.0818882466281305,7.032755298651253,10.86223506743738
Census tract,Tract 633.03,17031063303,1274,1.405152224824356,5.152224824355972,49.88290398126464
Census tract,Tract 634,17031063400,2417,1.9206680584551148,12.567849686847598,2.7139874739039667
Census tract,Tract 701.01,17031070101,4171,0.765733429050012,8.255563531945441,22.445561139028474
